node_id,node_type,event_type,event_no,event_name,amount,status,register_date,description
ABN_0001,BusinessAbnormal,BusinessAbnormal,56498534,3643a510ab02472ef9da14b77c8b55a1,0.0,C,2017-07-07,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=北京市工商行政管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后，申请移出; removed_authority=北京市工商行政管理局; removed_date=2017-07-28; update_time=2020-04-14 19:10:53.0
ABN_0002,BusinessAbnormal,BusinessAbnormal,22653646,e91eda6020d7408bb5afccf0ebd6d3e0,0.0,C,2016-01-15,included_reason=公示企业信息隐瞒真实情况、弄虚作假; included_authority=贵州省市场监督管理局; removed_reason=列入经营异常名录3年内且依照《企业经营异常名录管理暂行办法》第八条规定被列入经营异常名录的企业更正其公示的信息后，申请移出; removed_authority=贵州省市场监督管理局; removed_date=2016-01-28; update_time=2024-02-01 13:43:11
ABN_0003,BusinessAbnormal,BusinessAbnormal,50632355,c49c9fc0492b6b0b39599e9c5cd9d8a4,0.0,C,2015-07-09,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=上海市闵行区市场监督管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后，申请移出; removed_authority=上海市闵行区市场监督管理局; removed_date=2016-01-20; update_time=2020-04-10 00:00:00.0
ABN_0004,BusinessAbnormal,BusinessAbnormal,220643076,cf8cf649aaee6e9545c67af97c22807e,0.0,C,2024-07-05,included_reason=未按照《企业信息公示暂行条例》第八条规定的期限公示年度报告; included_authority=湖南省市场监督管理局; removed_reason=依法补报了未报年份的年度报告并公示; removed_authority=湖南省市场监督管理局; removed_date=2024-07-29; update_time=2024-08-01 07:55:12
ABN_0005,BusinessAbnormal,BusinessAbnormal,56416667,0dd6f72dc2e633e971656d5e525efade,0.0,C,2016-07-07,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=北京市工商行政管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后，申请移出; removed_authority=北京市工商行政管理局; removed_date=2016-08-30; update_time=2024-07-02 09:56:32
ABN_0006,BusinessAbnormal,BusinessAbnormal,56347643,9127f3ee6b3f3436c399b02b7c3ac6da,0.0,C,2016-06-24,included_reason=通过登记的住所或者经营场所无法联系的; included_authority=上海市浦东新区市场监督管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第九条规定被列入经营异常名录的企业，提出通过登记的住所或者经营场所可以重新取得联系，申请移出; removed_authority=上海市浦东新区市场监督管理局; removed_date=2016-09-13; update_time=2020-04-14 05:33:58.0
ABN_0007,BusinessAbnormal,BusinessAbnormal,43491236,f5ed30d89829274d7c390426d8bc930a,0.0,C,2016-06-14,included_reason=通过登记的住所或者经营场所无法联系; included_authority=重庆市渝北区市场监督管理局; removed_reason=已依法办理住所或者经营场所变更登记（通过登记的住所或者经营场所可以重新取得联系）; removed_authority=重庆市渝北区市场监督管理局; removed_date=2016-10-31; update_time=2020-11-27 18:38:05.0
ABN_0008,BusinessAbnormal,BusinessAbnormal,29539865,b2f0f638ee779f3bf3e058c0012265d9,0.0,C,2015-07-07,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=南京市栖霞区市场监督管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后，申请移出; removed_authority=南京市栖霞区市场监督管理局; removed_date=2015-07-13; update_time=2022-07-04 20:12:19
ABN_0009,BusinessAbnormal,BusinessAbnormal,295434757,0168c4e5e7e5b1845e42dd6e517f9ced,0.0,C,2025-07-18,included_reason=通过登记的住所或者经营场所无法联系的; included_authority=深圳市市场监督管理局南山监管局; update_time=2025-07-23 09:23:30
ABN_0010,BusinessAbnormal,BusinessAbnormal,30103086,44fb3c435fa9a6e91b11a17ea4353b0f,0.0,C,2017-07-05,included_reason=未依照《企业信息公示暂行条例》第八条规定的期限公示年度报告的; included_authority=苏州工业园区市场监督管理局; removed_reason=列入经营异常名录3年内且依照《经营异常名录管理办法》第六条规定被列入经营异常名录的企业，可以在补报未报年份的年度报告并公示后，申请移出; removed_authority=苏州工业园区市场监督管理局; removed_date=2017-07-17; update_time=2020-04-15 08:21:16.0
