fid,fnumber,fgroupid,fadminorgid,fctrlstrategy,fbizpartnerid,fapproverid,fapprovedate,fdisablerid,fdisabledate,fenable,fstatus,fcreateorgid,forgid,fcreatorid,fcreatetime,fmodifierid,fmodifytime,fsalerid,fsaledeptid,finvoicecustomerid,fpaymentcustomerid,fdelivercustomerid,fsettlementcyid,fsettlementtypeid,freceivingcondid,fmasterid,ftaxrateid,fbloccustomer,ftype,fbizfunction,fblockedorder,fblockedshipment,fpaymentcurrency,finvoicetype,finvoicehold,finvoiceaddress,fname,fsimplename,faddress,fartificialperson,fregcapital,fbusinessterm,fbusinessscope,flinkman,fsimplepinyin,flogo,finvoicecategory,fcustomerstatus,fsourcedataid,fbitindex,fsourcebitindex,ftaxregistplace,ftaxno,fconsignment,feffectivedt,fexpirydt,fsrccreateorgid,fchkisinternalcompany,finternalcompanyid
1,CUS0001,,,1,,,,,,,C,,,,2007-12-10,,,,,,,,,,,,,,,,,,,,,,中国建筑股份有限公司,,,郑学选,,,一般经营项目：承担国内外公用、民用房屋建筑工程的施工、安装、咨询；基础设施项目的投资与承建；国内外房地产投资与开发；建筑与基础设施建设的勘察与设计；装饰工程、园林工程的设计与施工；实业投资；承包境内外资工程；进出口业务；建筑材料及其他非金属矿物制品、建筑用金属制品、工具、建筑工程机械和钻探机械的生产与销售。,,,,,A,,,,,201095851111474,,,,,,
2,CUS0002,,,1,,,,,,,C,,,,2007-11-05,,,,,,,,,,,,,,,,,,,,,,中国铁建股份有限公司,,,戴和根,,,（一）铁路、公路、城市轨道交通、机场、港口、码头、隧道、桥梁、水利电力、邮电、矿山、林木、市政、工业与民用建筑工程和线路、管道、设备安装的勘查、设计、技术咨询及工程总承包；（二）境外工程和境内国际工程承包；（三）地质灾害防治工程承包；（四）工程建设管理；（五）工业设备制造和安装；（六）房地产开发与经营；（七）汽车、黑色金属、木材、水泥、燃料、建筑材料、化工产品（危险化学品除外）、机电产品、钢筋混凝土制品及铁路专线器材的批发与销售；（八）仓储；（九）机械设备和建筑安装设备的租赁；（十）建筑装修装饰；（十一）进出口业务；（十二）与以上业务有关的技术咨询、技术服务。,,,,,A,,,,,366619820349710,,,,,,
3,CUS0003,,,1,,,,,,,C,,,,2007-09-12,,,,,,,,,,,,,,,,,,,,,,中国中铁股份有限公司,,,陈文健,,,土木工程建筑和线路、管道、设备安装的总承包；上述项目勘测、设计、施工、建设监理、技术咨询、技术开发、技术转让、技术服务的分项承包；土木工程专用机械设备、器材、构件、钢梁、钢结构、建筑材料的研制、生产、销售、租赁；在新建铁路线正式验收交付运营前的临时性客、货运输业务及相关服务；承包本行业的国外工程，境内外资工程；房地产开发、经营，资源开发，物贸物流；进出口业务；经营对销贸易和转口贸易；汽车销售；电子产品及通信信号设备、交电、建筑五金、水暖器材、日用百货的销售。,,,,,A,,,,,130058004611267,,,,,,
4,CUS0004,,,1,,,,,,,C,,,,2006-10-08,,,,,,,,,,,,,,,,,,,,,,中国交通建设股份有限公司,,,宋海良,,,许可经营项目：对外派遣实施境外工程所需的劳务人员。一般经营项目：（一）港口、航道、公路、桥梁的建设项目总承包；（二）工程技术研究、咨询；（三）工程设计、勘察、施工、监理以及相关成套设备和材料的采购、供应、安装；（四）工业与民用建筑、铁路、冶金、石化、隧道、电力、矿山、水利、市政的建设工程总承包；（五）各种专业船舶的建造总承包；（六）专业船舶、施工机械的租赁及维修；（七）海上拖带、海洋工程的有关专业服务；（八）船舶及港口配套设备的技术咨询服务；（九）进出口业务；（十）国际技术合作与交流；（十一）物流业、运输业、酒店业、旅游业的投资与管理；（十二）地铁运输、地铁车辆、地铁设备的设计、安装、修理、技术开发。,,,,,A,,,,,781738464461600,,,,,,
5,CUS0005,,,1,,,,,,,C,,,,2008-12-01,,,,,,,,,,,,,,,,,,,,,,中国冶金科工股份有限公司,,,陈建光,,,国内外各类工程咨询、勘察、设计、总承包；工程技术咨询服务；工程设备的租赁；与工程建筑相关的新材料、新工艺、新产品的技术开发、技术服务、技术交流和技术转让；冶金工业所需设备的开发、生产、销售；建筑及机电设备安装工程规划、勘察、设计、监理和服务和相关研究；金属矿产品的投资、加工利用、销售；房地产开发、经营；招标代理；进出口业务；机电产品、小轿车、建筑材料、仪器仪表、五金交电的销售。,,,,,A,,,,,341537817954606,,,,,,
6,CUS0006,,,1,,,,,,,C,,,,2009-11-30,,,,,,,,,,,,,,,,,,,,,,中国电力建设股份有限公司,,,丁焰章,,,许可项目：建设工程施工；建设工程设计；建设工程勘察；建设工程监理；公路管理与养护；地质灾害治理工程施工；地质灾害治理工程勘查；地质灾害治理工程设计；水力发电；发电业务、输电业务、供（配）电业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：工程管理服务；水利相关咨询服务；工程技术服务（规划管理、勘察、设计、监理除外）；工业工程设计服务；基础地质勘查；土壤污染治理与修复服务；土地整治服务；水污染治理；水环境污染防治服务；地质灾害治理服务；电力行业高效节能技术研发；风力发电技术服务；太阳能发电技术服务；储能技术服务；建筑废弃物再生技术研发；生物质能技术服务；土石方工程施工；对外承包工程；金属结构制造；砼结构构件制造；以自有资金从事投资活动；信息系统集成服务；数据处理和存储支持服务；软件开发；招投标代理服务；货物进出口；人力资源服务（不含职业中介活动、劳务派遣服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,,,,,A,,,,,754743113902975,,,,,,
7,CUS0007,,,1,,,,,,,C,,,,2014-12-19,,,,,,,,,,,,,,,,,,,,,,中国能源建设股份有限公司,,,倪真(代),,,水电、火电、核电、风电及太阳能发电新能源及送变电和水利、水务、矿山、公路、铁路、港口与航道、机场、房屋、市政、城市轨道、环境、冶炼、石油化工基础设施项目的投资、咨询、规划、评估、评审、招标代理、建设；工程勘察与设计；施工总承包与专业承包；工程总承包；工程项目管理；工程监理；电站启动调试与检修、技术咨询、技术开发、技术服务；进出口业务；电力行业发展规划研究；机械、电子设备的制造、销售、租赁；电力专有技术开发与产品销售；建筑材料的生产与销售；实业投资。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,,,,,A,,,,,640394357031946,,,,,,
8,CUS0008,,,1,,,,,,,C,,,,2008-09-23,,,,,,,,,,,,,,,,,,,,,,中国化学工程股份有限公司,,,莫鼎革,,,许可经营项目：对外派遣实施与其实力、规模、业绩相适应的国外工程项目所需的劳务人员。一般经营项目：建筑工程、基础设施工程和境外工程的承包；化工、石油、医药、电力、煤炭工业工程的承包；工程咨询、勘察、设计、施工及项目管理和服务；环境治理；技术研发及成果推广；管线、线路及设备成套的制造安装；进出口业务；房地产开发经营；工业装置和基础设施的投资和管理。,,,,,A,,,,,973702670078560,,,,,,
9,CUS0009,,,1,,,,,,,C,,,,2004-12-20,,,,,,,,,,,,,,,,,,,,,,宁波建工股份有限公司,,,周孝棠,,,许可经营项目：承包境外房屋建筑、机电安装和境内国际招标工程；上述境外工程所需的设备、材料出口；对外派遣实施上述工程所需的劳务人员；普通货物道路运输（限分支机构经营）。一般经营项目：实业投资；工程总承包；房屋和土木工程建筑业；建筑安装业；建筑装饰业；其他建筑业；建筑智能化工程施工；工程管理服务及勘察、设计；建筑工程技术开发、咨询；建筑设备及建筑周转材料租赁；钢结构件制作安装；建材及结构测试；物业服务；建材、机械设备的批发、零售；装卸搬运服务；自营和代理货物和技术的进出口，但国家限定经营或禁止进出口的货物和技术除外。以下限分支机构经营：建筑构件、机械设备及配件的制造、加工；锅炉的安装、改造、维修。,,,,,A,,,,,609701831403258,,,,,,
10,CUS0010,,,1,,,,,,,C,,,,2007-12-28,,,,,,,,,,,,,,,,,,,,,,中国中车股份有限公司,,,孙永才,,,铁路机车车辆（含动车组）、城市轨道交通车辆、工程机械、各类机电设备、电子设备及零部件、电子电器及环保设备产品的研发、设计、制造、修理、销售、租赁与技术服务；信息咨询；实业投资与管理；资产管理；进出口业务。,,,,,A,,,,,725796650449112,,,,,,
11,CUS0011,,,1,,,,,,,C,,,,1984-05-30,,,,,,,,,,,,,,,,,,,,,,万科企业股份有限公司,,,黄力平,,,房地产开发；兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；进出口业务（按深经发审证字第113号外贸企业审定证书规定办理）。,,,,,A,,,,,381737929257872,,,,,,
12,CUS0012,,,1,,,,,,,C,,,,1992-09-14,,,,,,,,,,,,,,,,,,,,,,保利发展控股集团股份有限公司,,,刘平,,,项目投资；房地产开发经营；物业管理；房屋租赁；建筑物拆除（不含爆破作业）；房屋建筑工程设计服务；铁路、道路、隧道和桥梁工程建筑；建筑工程后期装饰、装修和清理；土石方工程服务；建筑物空调设备、通风设备系统安装服务；酒店管理；商品批发贸易（许可审批类商品除外）；商品零售贸易（许可审批类商品除外）。,,,,,A,,,,,462037549589645,,,,,,
13,CUS0013,,,1,,,,,,,C,,,,1979-04-01,,,,,,,,,,,,,,,,,,,,,,招商局蛇口工业区控股股份有限公司,,,朱文凯,,,城区、园区及社区的投资、开发建设和运营；房地产开发经营；物业管理；水上运输；码头、仓储服务；邮轮母港及配套设施的建设和运营；交通运输、工业制造、金融保险、对外贸易、旅游、酒店和其他各类企业的投资和管理；水陆建筑工程；所属企业产品的销售和所需设备、原材料、零配件的供应和销售；举办体育比赛；科研技术服务；提供与上述业务有关的技术、经营咨询和技术、信息服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）,,,,,A,,,,,698067273909071,,,,,,
14,CUS0014,,,1,,,,,,,C,,,,1997-09-02,,,,,,,,,,,,,,,,,,,,,,深圳华侨城股份有限公司,,,吴秉琪,,,旅游及其关联产业的投资和管理；房地产开发；自有物业租赁；酒店管理；文化活动的组织策划；会展策划；旅游项目策划；旅游信息咨询；旅游工业品的销售；投资兴办实业（具体项目另行申报）；国内商业（不含专营、专控、专卖商品）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。,,,,,A,,,,,668269150122800,,,,,,
15,CUS0015,,,1,,,,,,,C,,,,1992-07-08,,,,,,,,,,,,,,,,,,,,,,绿地控股集团股份有限公司,,,张玉良,,,实业投资，房地产开发经营、租赁、置换，住宅及基础设施配套建设，酒店管理，城市轨道交通工程，金融信息服务，绿化工程，能源领域内技术服务，汽车销售服务，物业管理。（企业经营涉及行政许可的，凭许可证件经营）。,,,,,A,,,,,400746012183601,,,,,,
16,CUS0016,,,1,,,,,,,C,,,,1996-02-08,,,,,,,,,,,,,,,,,,,,,,金地(集团)股份有限公司,,,徐家俊,,,从事房地产开发经营业务；兴办各类实体（具体项目需另报）；经营进出口业务；信息咨询（不含限制项目）。,,,,,A,,,,,501133560400291,,,,,,
17,CUS0017,,,1,,,,,,,C,,,,1992-08-18,,,,,,,,,,,,,,,,,,,,,,珠海华发实业股份有限公司,,,郭凌勇,,,许可项目：房地产开发经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：销售代理；建筑材料销售；建筑装饰材料销售；金属材料销售；五金产品批发；五金产品零售；化工产品销售（不含许可类化工产品）；非居住房地产租赁。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,,,,,A,,,,,788006451056594,,,,,,
18,CUS0018,,,1,,,,,,,C,,,,1998-12-30,,,,,,,,,,,,,,,,,,,,,,北京城建投资发展股份有限公司,,,齐占峰,,,房地产开发、销售商品房；投资及投资管理；销售金属材料、木材、建筑材料、机械电器设备；信息咨询（不含中介服务）；环保技术开发、技术服务。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,,,,,A,,,,,663894150986498,,,,,,
19,CUS0019,,,1,,,,,,,C,,,,1993-02-23,,,,,,,,,,,,,,,,,,,,,,衢州信安发展股份有限公司,,,林俊波,,,煤炭（无储存）的销售。实业投资，百货、针纺织品、五金交电、石化产品、化工产品（不含化学危险品）、家俱、电子计算机及配件、建筑材料、金属材料、木竹材、电子产品、通讯设备（不含无线）、机电设备、黄金饰品、珠宝玉器的销售，经营进出口业务，投资管理，信息咨询服务，国内广告设计制作发布，代理广告业务，电子计算机网络系统及软件的研发、技术服务，房地产中介服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,,,,A,,,,,603137718520662,,,,,,
20,CUS0020,,,1,,,,,,,C,,,,1999-06-09,,,,,,,,,,,,,,,,,,,,,,珠海珠免集团股份有限公司,,,李向东,,,实业投资、资产经营、房地产开发经营、物业管理、国内贸易（除专项规定外）、建筑材料的批发零售、代购代销。,,,,,A,,,,,336039921019197,,,,,,
21,CUS0021,,,1,,,,,,,C,,,,1993-05-28,,,,,,,,,,,,,,,,,,,,,,华夏幸福基业股份有限公司,,,王文学,,,对房地产、工业园区及基础设施建设投资；房地产中介服务；提供施工设备服务；企业管理咨询；生物医药研发、科技技术推广服务（科技企业孵化）。,,,,,A,,,,,644333735076818,,,,,,
22,CUS0022,,,1,,,,,,,C,,,,2006-12-06,,,,,,,,,,,,,,,,,,,,,,杭州滨江房产集团股份有限公司,,,张洪力,,,房地产开发，房屋建筑，商品房销售，水电安装，室内外装璜；含下属分支机构的经营范围；其他无需报经审批的一切合法项目（以工商登记机关核准为准）。,,,,,A,,,,,377502264305036,,,,,,
23,CUS0023,,,1,,,,,,,C,,,,1987-03-20,,,,,,,,,,,,,,,,,,,,,,金科地产集团股份有限公司,,,郭伟,,,房地产开发、物业管理、机电设备安装（以上经营范围凭资质证书执业）；销售建筑、装饰材料和化工产品（不含化学危险品）、五金交电；自有房屋租赁；企业管理咨询服务；货品及技术进出口。,,,,,A,,,,,270970571843440,,,,,,
24,CUS0024,,,1,,,,,,,C,,,,1995-11-08,,,,,,,,,,,,,,,,,,,,,,金融街控股股份有限公司,,,杨扬,,,房地产开发，销售商品房；物业管理；新技术及产品项目投资；技术开发；技术服务；技术咨询；停车服务；出租办公用房、商业用房；健身服务；劳务服务；打字；复印；会议服务；技术培训；承办展览展示；饭店管理；餐饮管理；企业形象策划；组织文化交流活动；销售百货、工艺美术品、建筑材料、机械电气设备安装；货物进出口、技术进出口、代理进出口；以下项目仅限分公司经营；住宿、游泳池、网球场、中西餐、冷、热饮、糕点、美容美发、洗浴、零售烟卷、图书期刊。,,,,,A,,,,,424469310442610,,,,,,
25,CUS0025,,,1,,,,,,,C,,,,1993-12-29,,,,,,,,,,,,,,,,,,,,,,北京首都开发股份有限公司,,,李岩,,,房地产开发、商品房销售、房屋租赁；建筑工程咨询；室内外装饰装潢；技术开发、技术服务；销售自行开发的产品；购销建筑材料、化工轻工材料、工艺美术品、家具、机械电器设备（汽车除外）、五金交电、纺织品、百货、计算机软硬件、日用杂品；经贸信息咨询；劳务服务。,,,,,A,,,,,585419948914253,,,,,,
26,CUS0026,,,1,,,,,,,C,,,,1999-12-23,,,,,,,,,,,,,,,,,,,,,,南京栖霞建设股份有限公司,,,江劲松,,,住宅小区综合开发建设；商品房销售、租赁、售后服务；投资兴办实业；教育产业投资。,,,,,A,,,,,823007609859625,,,,,,
27,CUS0027,,,1,,,,,,,C,,,,1992-08-30,,,,,,,,,,,,,,,,,,,,,,上海陆家嘴金融贸易区开发股份有限公司,,,徐而进,,,房地产开发、经营、销售、出租和中介；市政基础实施的开发建设；纺织品、鞋帽服装、日用百货、日用化学产品，机电设备、五金制品、数码产品、文教用品、玩具、体育器材、首饰、钟表、箱包、眼镜（隐形眼镜除外）、汽车装饰用品、乐器、家居用品、化妆品、家用电器用品、计算机（除计算机信息系统安全专用产品）、影像器材、通讯器材、一类医疗器材、食品（不含生猪产品）、酒类的批发佣金代理（拍卖除外）零售和进出口；音响设备租赁；鲜花、包装服务、皮革制品、工艺美术品、黄金珠宝首饰（涉及许可经营的凭许可证经营）。,,,,,A,,,,,652842030598250,,,,,,
28,CUS0028,,,1,,,,,,,C,,,,1993-04-01,,,,,,,,,,,,,,,,,,,,,,苏宁环球股份有限公司,,,张桂平,,,房地产开发（凭资质经营）；投资建设城市基础设施、投资教育及相关产业、投资开发高新技术项目；建材生产（凭环保许可生产）；进出口贸易（需专项审批除外）；酒店管理；经济信息咨询服务；黄金等贵金属矿投资；有色金属（含稀有及稀土金属）矿投资；电力投资；煤炭和石油化工产品的投资。,,,,,A,,,,,316463445637653,,,,,,
29,CUS0029,,,1,,,,,,,C,,,,1998-12-30,,,,,,,,,,,,,,,,,,,,,,北京万通新发展集团股份有限公司,,,钱劲舟(代),,,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；信息系统集成服务；信息咨询服务（不含许可类信息咨询服务）；数据处理服务；大数据服务；软件开发；工程和技术研究和试验发展；工程技术服务（规划管理、勘察、设计、监理除外）；非居住房地产租赁；创业空间服务；停车场服务；以自有资金从事投资活动；数字文化创意内容应用服务；数字文化创意软件开发；数字内容制作服务（不含出版发行）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：房地产开发经营；第一类增值电信业务；网络文化经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,,,,,A,,,,,109695723380757,,,,,,
30,CUS0030,,,1,,,,,,,C,,,,1996-06-24,,,,,,,,,,,,,,,,,,,,,,恒大地产集团有限公司,,,赵长龙,,,房地产开发经营、商品房销售、物业管理、商业综合体运营以及建筑施工总承包等,,,,,A,,,,,171827271396922,,,,,,
