fid,forgid,fbillno,fname,fbillstatus,fcreatorid,fcreatetime,fmodifierid,fmodifytime,fauditorid,fauditdate,foperatorid,foperateorgid,fregistdate,fbilldate,fcasestatus,fcasetypeid,fcaseid,ftreatmode,flawsuittype,frelatecontractid,frelatedisputeid,frelateprojectid,frelatecaseid,fcurrencyid,flawsuitamount,freceiptdate,fintroduction,fisforeign,fisimportant,fisoneself,fisprocessbypartner,fisstatistical,fissecure,fsettlecasemode,fjudgeresult,fsettlecasedate,fretrievelossamount,fincomeamount,fsettlecasenotes,fcloserid,fclosetime
1,,AJ202400001,中国建筑股份有限公司与宝山钢铁股份有限公司合同纠纷案件,C,,,,,,,1,,2025-01-31,,N,1,,,1,1,,,,,4450308.0,,"案件简介：中国建筑股份有限公司与宝山钢铁股份有限公司围绕合同纠纷产生纠纷，争议金额约4,450,308.00元。",,,,,,,,,,0E-10,0E-10,,,
2,,AJ202400002,中国建筑股份有限公司与中国铝业股份有限公司劳动争议案件,C,,,,,,,2,,2025-04-08,,I,2,,,1,2,,,,,1077045.0,,"案件简介：中国建筑股份有限公司与中国铝业股份有限公司围绕劳动争议产生纠纷，争议金额约1,077,045.00元。",,,,,,,,,,0E-10,0E-10,,,
3,,AJ202400003,中国建筑股份有限公司与紫金矿业集团股份有限公司侵权责任案件,C,,,,,,,3,,2025-04-22,,I,3,,,1,3,,,,,3342093.0,,"案件简介：中国建筑股份有限公司与紫金矿业集团股份有限公司围绕侵权责任产生纠纷，争议金额约3,342,093.00元。",,,,,,,,,,0E-10,0E-10,,,
4,,AJ202400004,中国建筑股份有限公司与江西铜业股份有限公司债权债务案件,C,,,,,,,4,,2025-06-09,,J,4,,,1,4,,,,,3316961.0,,"案件简介：中国建筑股份有限公司与江西铜业股份有限公司围绕债权债务产生纠纷，争议金额约3,316,961.00元。",,,,,,,,,,0E-10,0E-10,,,
5,,AJ202400005,中国建筑股份有限公司与中国北方稀土(集团)高科技股份有限公司工程款案件,C,,,,,,,5,,2025-08-02,,I,5,,,1,5,,,,,1581739.0,,"案件简介：中国建筑股份有限公司与中国北方稀土(集团)高科技股份有限公司围绕工程款产生纠纷，争议金额约1,581,739.00元。",,,,,,,,,,0E-10,0E-10,,,
6,,AJ202400006,中国建筑股份有限公司与安徽海螺水泥股份有限公司合同纠纷案件,C,,,,,,,6,,2025-02-04,,I,1,,,2,6,,,,,2959430.0,,"案件简介：中国建筑股份有限公司与安徽海螺水泥股份有限公司围绕合同纠纷产生纠纷，争议金额约2,959,430.00元。",,,,,,,,,,0E-10,0E-10,,,
7,,AJ202400007,中国建筑股份有限公司与天山材料股份有限公司劳动争议案件,C,,,,,,,7,,2025-03-06,,N,2,,,2,7,,,,,1965755.0,,"案件简介：中国建筑股份有限公司与天山材料股份有限公司围绕劳动争议产生纠纷，争议金额约1,965,755.00元。",,,,,,,,,,0E-10,0E-10,,,
8,,AJ202400008,中国建筑股份有限公司与中国中材国际工程股份有限公司侵权责任案件,C,,,,,,,8,,2025-06-18,,I,3,,,1,8,,,,,3955037.0,,"案件简介：中国建筑股份有限公司与中国中材国际工程股份有限公司围绕侵权责任产生纠纷，争议金额约3,955,037.00元。",,,,,,,,,,0E-10,0E-10,,,
9,,AJ202400009,恒大地产集团有限公司与南京栖霞建设股份有限公司债权债务案件,C,,,,,,,9,,2025-06-27,,F,4,,,1,90,,,,,2623926.0,,"案件简介：恒大地产集团有限公司与南京栖霞建设股份有限公司围绕债权债务产生纠纷，争议金额约2,623,926.00元。",,,,,,,,,,0E-10,0E-10,,,
10,,AJ202400010,恒大地产集团有限公司与广联达科技股份有限公司工程款案件,C,,,,,,,10,,2025-06-21,,F,5,,,1,99,,,,,2433623.0,,"案件简介：恒大地产集团有限公司与广联达科技股份有限公司围绕工程款产生纠纷，争议金额约2,433,623.00元。",,,,,,,,,,0E-10,0E-10,,,
