fid,forgid,fbillno,fname,fbillstatus,fcreatorid,fcreatetime,fmodifierid,fmodifytime,fauditorid,fauditdate,foperatorid,foperateorgid,fregistdate,fdisputestatus,fcasetypeid,fcurrencyid,fdisputeamount,flettertype,fletterdate,frelatecontractid,frelatedisputeid,frelateprojectid,fdisputeintroduction,fbusinessprocess,flegalprocess,fk_wd57_billno,fk_wd57_name,fk_wd57_operator,fk_wd57_org
1,,JF202400001,合同履约争议-国家电网有限公司与特变电工股份有限公司,C,,,,,,,,,2025-09-14,B,1,,1068465.0,,,11,,,"纠纷简述：国家电网有限公司与特变电工股份有限公司就合同履约争议产生分歧，争议金额约1,068,465.00元。",,,,,,
2,,JF202400002,质量争议-特变电工股份有限公司与中国建筑股份有限公司,C,,,,,,,,,2025-05-07,C,2,,1035908.0,,,12,,,"纠纷简述：特变电工股份有限公司与中国建筑股份有限公司就质量争议产生分歧，争议金额约1,035,908.00元。",,,,,,
3,,JF202400003,付款争议-中国建筑股份有限公司与国家电网有限公司,C,,,,,,,,,2025-05-27,F,3,,2105480.0,,,13,,,"纠纷简述：中国建筑股份有限公司与国家电网有限公司就付款争议产生分歧，争议金额约2,105,480.00元。",,,,,,
4,,JF202400004,工期争议-金地(集团)股份有限公司与中国有色金属建设股份有限公司,C,,,,,,,,,2025-06-08,F,4,,1740152.0,,,14,,,"纠纷简述：金地(集团)股份有限公司与中国有色金属建设股份有限公司就工期争议产生分歧，争议金额约1,740,152.00元。",,,,,,
5,,JF202400005,争议-中国建筑股份有限公司与广联达科技股份有限公司,C,,,,,,,,,2025-07-25,G,5,,1111698.0,,,15,,,"纠纷简述：中国建筑股份有限公司与广联达科技股份有限公司就争议产生分歧，争议金额约1,111,698.00元。",,,,,,
6,,JF202400006,合同履约争议-杭州滨江房产集团股份有限公司与东方电气股份有限公司,C,,,,,,,,,2025-05-12,C,1,,579304.0,,,16,,,"纠纷简述：杭州滨江房产集团股份有限公司与东方电气股份有限公司就合同履约争议产生分歧，争议金额约579,304.00元。",,,,,,
7,,JF202400007,质量争议-华夏幸福基业股份有限公司与启迪设计集团股份有限公司,C,,,,,,,,,2025-07-29,B,2,,2878290.0,,,17,,,"纠纷简述：华夏幸福基业股份有限公司与启迪设计集团股份有限公司就质量争议产生分歧，争议金额约2,878,290.00元。",,,,,,
8,,JF202400008,付款争议-珠海华发实业股份有限公司与华东建筑集团股份有限公司,C,,,,,,,,,2025-07-19,B,3,,2620676.0,,,18,,,"纠纷简述：珠海华发实业股份有限公司与华东建筑集团股份有限公司就付款争议产生分歧，争议金额约2,620,676.00元。",,,,,,
9,,JF202400009,付款争议-恒大地产集团有限公司与南京栖霞建设股份有限公司,C,,,,,,,,,2025-07-08,F,3,,958125.0,,,90,,,"纠纷简述：恒大地产集团有限公司与南京栖霞建设股份有限公司就付款争议产生分歧，争议金额约958,125.00元。",,,,,,
10,,JF202400010,付款争议-恒大地产集团有限公司与广联达科技股份有限公司,C,,,,,,,,,2025-07-22,F,3,,537927.0,,,99,,,"纠纷简述：恒大地产集团有限公司与广联达科技股份有限公司就付款争议产生分歧，争议金额约537,927.00元。",,,,,,
