fid,forgid,fconttypeid,fbillno,fbillname,fcontstatusid,fbillstatus,fbiztime,fbiztimebegin,fbiztimeend,fsettlecurrencyid,fsettletypeid,fcomment,finvoicebiztypeid,ftotalamount,fcreatorid,fcreatetime,fmodifierid,fmodifytime,fauditorid,fauditdate,fbillcretype,fsrcsys,fsrcbillid,fsrcbillnumber,frelatedcontid,fsrcbillentity,fuserid,fdeptid,fconmprop,fprojectid,fmodelcontractid,fchangestatus,fisrenew,fispreview,fmodiflevel,fchangerid,fchangedate,fsubversion,fversion,fcontform,fistax,ftaxrateid,ftaxrate,ftotaltaxamount,ftotalallamount,fsrcsysbillid,fsrcsysbillno,fuppertotalallamount,fcancelreason,fclosereason,fsignmodel,flastupdateuserid,flastupdatetime,fmainpartamount,fpatype,fpartaid,fpaacrmlink,fpbtype,fpartbid,fpbacrmlink,fpctype,fpartcid,fpcacrmlink,fpdtype,fpartdid,fpdacrmlink,fselfposition,fdynfieldstr,fdynfieldstr_tag,forgscope,fispayrate,fpartaname,fpartbname,fpartcname,fpartdname,fiscomptaxrate,fsettleorgid,fsigntaxamount,fsignamount,fsignallamount,fuppersignallamount,famdsourcebillid,fcontstatus11,fcontstatus21,fk_wd57_billno,fk_wd57_contstatus,fcontstatus
1,,,HT2024000001,建材采购合同-宝山钢铁股份有限公司,,C,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,2,,bd_supplier,1,,,,,,,,,,,,1,中国建筑股份有限公司,宝山钢铁股份有限公司,,,1,,0E-10,0E-10,5353380.0,,,A,A,,A,EXECUTING
2,,,HT2024000002,建材采购合同-中国铝业股份有限公司,,C,2025-09-04,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,2,,bd_supplier,2,,,,,,,,,,,,1,中国建筑股份有限公司,中国铝业股份有限公司,,,1,,0E-10,0E-10,9930954.0,,,A,A,,A,EXECUTING
3,,,HT2024000003,建材采购合同-紫金矿业集团股份有限公司,,C,2025-09-29,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,2,,bd_supplier,3,,,,,,,,,,,,1,中国建筑股份有限公司,紫金矿业集团股份有限公司,,,1,,0E-10,0E-10,7317542.0,,,A,A,,A,EXECUTING
4,,,HT2024000004,建材采购合同-江西铜业股份有限公司,,C,2025-05-25,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,2,,bd_supplier,4,,,,,,,,,,,,1,中国建筑股份有限公司,江西铜业股份有限公司,,,1,,0E-10,0E-10,7691282.0,,,A,A,,A,EXECUTING
5,,,HT2024000005,建材采购合同-中国北方稀土(集团)高科技股份有限公司,,C,2025-10-08,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,2,,bd_supplier,5,,,,,,,,,,,,1,中国建筑股份有限公司,中国北方稀土(集团)高科技股份有限公司,,,1,,0E-10,0E-10,8980792.0,,,A,A,,A,EXECUTING
6,,,HT2024000006,建材采购合同-安徽海螺水泥股份有限公司,,C,2025-09-19,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,2,,bd_supplier,6,,,,,,,,,,,,1,中国建筑股份有限公司,安徽海螺水泥股份有限公司,,,1,,0E-10,0E-10,9239553.0,,,A,A,,A,EXECUTING
7,,,HT2024000007,建材采购合同-天山材料股份有限公司,,C,2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,2,,bd_supplier,7,,,,,,,,,,,,1,中国建筑股份有限公司,天山材料股份有限公司,,,1,,0E-10,0E-10,5712093.0,,,A,A,,A,EXECUTING
8,,,HT2024000008,建材采购合同-中国中材国际工程股份有限公司,,C,2025-07-24,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,2,,bd_supplier,8,,,,,,,,,,,,1,中国建筑股份有限公司,中国中材国际工程股份有限公司,,,1,,0E-10,0E-10,8640061.0,,,A,A,,A,EXECUTING
9,,,HT2024000009,建材采购合同-中国有色金属建设股份有限公司,,C,2025-07-15,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,2,,bd_supplier,9,,,,,,,,,,,,1,中国建筑股份有限公司,中国有色金属建设股份有限公司,,,1,,0E-10,0E-10,5786007.0,,,A,A,,A,EXECUTING
10,,,HT2024000010,建材采购合同-中国巨石股份有限公司,,C,2025-07-05,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,2,,bd_supplier,10,,,,,,,,,,,,1,中国建筑股份有限公司,中国巨石股份有限公司,,,1,,0E-10,0E-10,6490568.0,,,A,A,,A,EXECUTING
11,,,HT2024000011,建材采购合同-特变电工股份有限公司,,C,2025-07-25,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,5,,bd_supplier,11,,,,,,,,,,,,1,国家电网有限公司,特变电工股份有限公司,,,1,,0E-10,0E-10,9919290.0,,,A,A,,A,EXECUTING
12,,,HT2024000012,循环交易合同-特变电工股份有限公司至中国建筑股份有限公司,,C,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_supplier,11,,bd_customer,1,,,,,,,,,,,,1,特变电工股份有限公司,中国建筑股份有限公司,,,1,,0E-10,0E-10,9902595.0,,,A,A,,A,EXECUTING
13,,,HT2024000013,集团内部协同协议-中国建筑股份有限公司与国家电网有限公司,,C,2025-08-14,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,1,,bos_org,5,,,,,,,,,,,,1,中国建筑股份有限公司,国家电网有限公司,,,1,,0E-10,0E-10,9994149.0,,,A,A,,A,EXECUTING
14,,,HT2024000014,建材采购合同-中国有色金属建设股份有限公司,,C,2025-07-04,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,16,,bd_supplier,9,,,,,,,,,,,,1,金地(集团)股份有限公司,中国有色金属建设股份有限公司,,,1,,0E-10,0E-10,22643967.0,,,A,A,,A,COMPLETED
15,,,HT2024000015,建材采购合同-广联达科技股份有限公司,,C,2025-05-09,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,2,,bd_supplier,22,,,,,,,,,,,,1,中国建筑股份有限公司,广联达科技股份有限公司,,,1,,0E-10,0E-10,1880365.0,,,A,A,,A,EXECUTING
16,,,HT2024000016,建材采购合同-东方电气股份有限公司,,C,2025-02-18,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,22,,bd_supplier,17,,,,,,,,,,,,1,杭州滨江房产集团股份有限公司,东方电气股份有限公司,,,1,,0E-10,0E-10,35622292.0,,,A,A,,A,EXECUTING
17,,,HT2024000017,服务合作合同-启迪设计集团股份有限公司,,C,2025-08-12,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,21,,mscon_counterpart,9,,,,,,,,,,,,1,华夏幸福基业股份有限公司,启迪设计集团股份有限公司,,,1,,0E-10,0E-10,3770394.0,,,A,A,,A,EXECUTING
18,,,HT2024000018,服务合作合同-华东建筑集团股份有限公司,,C,2024-11-15,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,17,,mscon_counterpart,1,,,,,,,,,,,,1,珠海华发实业股份有限公司,华东建筑集团股份有限公司,,,1,,0E-10,0E-10,34216238.0,,,A,A,,A,COMPLETED
19,,,HT2024000019,建材采购合同-永兴特种材料科技股份有限公司,,C,2025-07-29,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,13,,bd_supplier,25,,,,,,,,,,,,1,中国中车集团有限公司,永兴特种材料科技股份有限公司,,,1,,0E-10,0E-10,35121400.0,,,A,A,,A,EXECUTING
20,,,HT2024000020,建材采购合同-中国中材国际工程股份有限公司,,C,2025-10-25,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bos_org,11,,bd_supplier,8,,,,,,,,,,,,1,中国石油集团工程股份有限公司,中国中材国际工程股份有限公司,,,1,,0E-10,0E-10,47746694.0,,,A,A,,A,EXECUTING
21,,,HT2024000021,服务合作合同-深圳市建筑科学研究院股份有限公司,,C,2024-11-30,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,1,1,,,,1,,,,,,,,,,,0E-10,bd_customer,26,,mscon_counterpart,5,,,,,,,,,,,,1,南京栖霞建设股份有限公司,深圳市建筑科学研究院股份有限公司,,,1,,0E-10,0E-10,28839916.0,,,A,A,,A,COMPLETED
