fid,forgid,fbillno,fbillstatus,fcreatorid,fcreatetime,fmodifierid,fmodifytime,fauditorid,fauditdate,fcontractname,fcontypeid,fprojectid,fbiztime,fbiztimebegin,fbiztimeend,fsettlecurrencyid,ftotalallamount,fuserid,fdeptid,fcomment,fispayrate,fbillcretype,fperformstatus,fsettletypeid,flastupdateuserid,flastupdatetime,fperformoverview,fistax,fisentrysum,ftotaltaxamount,ftotalamount,fperformfinisherid,fperformfinishtime,fchangerid,fchangedate,fchangestatus,fversion,fsubversion,fperformtypeid,finvoicebiztypeid,fmainpartamount,fselfposition,fpatype,fpartaid,fpbtype,fpartbid,fpctype,fpartcid,fpdtype,fpartdid,fpaidpreallamount,fpaidallamount,fsrcsys,fsrcsysbillno,fsrcsysbillid,fsrcbillentity,fsrcbillnumber,fsrcbillid,fjoininvoiceamount,finvoiceamount,fjoinrevcfmamount,frevcfmamount,frelatedpayamount,fpayamount,fjoinpayamount
1,,IN2024000001,C,,,,,,,,,0,2025-09-20,,2025-10-25 15:20:54,1,,,,,1,0,B,0,,,,1,0,,10000.0000000000,,,,,A,1,1,,,,,,2,,1,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
2,,IN2024000002,C,,,,,,,,,0,2025-10-15,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,2,,1,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
3,,IN2024000003,C,,,,,,,,,0,2025-09-10,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,2,,2,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
4,,IN2024000004,C,,,,,,,,,0,2025-10-05,,2025-10-25 15:20:54,1,,,,,1,0,B,0,,,,1,0,,10000.0000000000,,,,,A,1,1,,,,,,2,,2,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
5,,IN2024000005,C,,,,,,,,,0,2025-10-01,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,2,,3,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
6,,IN2024000006,C,,,,,,,,,0,2025-10-20,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,2,,3,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
7,,IN2024000007,C,,,,,,,,,0,2025-05-28,,2025-10-25 15:20:54,1,,,,,1,0,B,0,,,,1,0,,10000.0000000000,,,,,A,1,1,,,,,,2,,4,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
8,,IN2024000008,C,,,,,,,,,0,2025-06-20,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,2,,4,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
9,,IN2024000009,C,,,,,,,,,0,2025-10-12,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,2,,5,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
10,,IN2024000010,C,,,,,,,,,0,2025-11-05,,2025-10-25 15:20:54,1,,,,,1,0,B,0,,,,1,0,,10000.0000000000,,,,,A,1,1,,,,,,2,,5,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
11,,IN2024000011,C,,,,,,,,,0,2025-07-28,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,5,,11,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
12,,IN2024000012,C,,,,,,,,,0,2025-08-15,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,5,,11,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
13,,IN2024000013,C,,,,,,,,,0,2025-08-06,,2025-10-25 15:20:54,1,,,,,1,0,B,0,,,,1,0,,10000.0000000000,,,,,A,1,1,,,,,,11,,1,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
14,,IN2024000014,C,,,,,,,,,0,2025-08-25,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,11,,1,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
15,,IN2024000015,C,,,,,,,,,0,2025-08-18,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,1,,5,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
16,,IN2024000016,C,,,,,,,,,0,2025-09-05,,2025-10-25 15:20:54,1,,,,,1,0,B,0,,,,1,0,,10000.0000000000,,,,,A,1,1,,,,,,1,,5,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
17,,IN2024000017,C,,,,,,,,,0,2025-07-10,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,16,,9,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
18,,IN2024000018,C,,,,,,,,,0,2025-08-08,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,16,,9,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
19,,IN2024000019,C,,,,,,,,,0,2025-05-15,,2025-10-25 15:20:54,1,,,,,1,0,B,0,,,,1,0,,10000.0000000000,,,,,A,1,1,,,,,,2,,22,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
20,,IN2024000020,C,,,,,,,,,0,2025-06-10,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,2,,22,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
21,,IN2024000021,C,,,,,,,,,0,2025-02-25,,,1,,,,,1,0,A,0,,,,1,0,,,,,,,A,1,1,,,,,,22,,17,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
22,,IN2024000022,C,,,,,,,,,0,2025-03-20,,2025-10-25 15:20:54,1,,,,,1,0,B,0,,,,1,0,,10000.0000000000,,,,,A,1,1,,,,,,22,,17,,,,,0E-10,0E-10,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10
