fid,forgid,fbillno,fbillstatus,fcreatorid,fcreatetime,fmodifierid,fmodifytime,fauditorid,fauditdate,fcontractname,fcontypeid,fprojectid,fbiztime,fbiztimebegin,fbiztimeend,fsettlecurrencyid,ftotalallamount,fuserid,fdeptid,fcomment,fispayrate,fbillcretype,fperformstatus,flastupdateuserid,flastupdatetime,fperformoverview,fistax,fisentrysum,ftotaltaxamount,ftotalamount,fperformfinisherid,fperformfinishtime,fchangerid,fchangedate,fchangestatus,fversion,fsubversion,fsettletypeid,fperformtypeid,finvoicebiztypeid,fmainpartamount,fselfposition,fpatype,fpartaid,fpbtype,fpartbid,fpctype,fpartcid,fpdtype,fpartdid,fpaidpreallamount,fpaidallamount,fsrcsys,fsrcsysbillno,fsrcsysbillid,fsrcbillentity,fsrcbillnumber,fsrcbillid,fmarginrate,fmarginamount,fmarginpaidamount,finvoiceamount,frelatedpayamount,fpayamount,fjoinpayamount,fk_wd57_billno,fk_wd57_settlecurrency,fk_wd57_paidallamount
1,,OUT2024000001,C,,,,,,,,,0,2025-09-22,,2025-10-25 15:20:54,1,,,,,1,0,B,,,,1,0,,,,,,,A,1,1,0,,,,,,2,,1,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
2,,OUT2024000002,C,,,,,,,,,0,2025-10-18,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,2,,1,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
3,,OUT2024000003,C,,,,,,,,,0,2025-09-12,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,2,,2,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
4,,OUT2024000004,C,,,,,,,,,0,2025-10-08,,2025-10-25 15:20:54,1,,,,,1,0,B,,,,1,0,,,,,,,A,1,1,0,,,,,,2,,2,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
5,,OUT2024000005,C,,,,,,,,,0,2025-10-03,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,2,,3,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
6,,OUT2024000006,C,,,,,,,,,0,2025-10-22,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,2,,3,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
7,,OUT2024000007,C,,,,,,,,,0,2025-05-30,,2025-10-25 15:20:54,1,,,,,1,0,B,,,,1,0,,,,,,,A,1,1,0,,,,,,2,,4,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
8,,OUT2024000008,C,,,,,,,,,0,2025-06-22,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,2,,4,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
9,,OUT2024000009,C,,,,,,,,,0,2025-10-15,,,1,,,,,1,0,A,,,,1,0,,,,,,,A,1,1,0,,,,,,2,,5,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
10,,OUT2024000010,C,,,,,,,,,0,2025-11-08,,2025-10-25 15:20:54,1,,,,,1,0,B,,,,1,0,,,,,,,A,1,1,0,,,,,,2,,5,,,,,0E-10,0E-10,,,,,,,,0E-10,0E-10,0E-10,0E-10,0E-10,0E-10,,0,
