fid,fyzjorgid,fnumber,fyzjimorted,forgpattern,forgpatternid,fisadministrative,fispurchase,fissale,fisproduce,fisinventory,fisqc,fissettlement,fisbankroll,fisasset,fisaccounting,fishr,fisscc,fisbudget,fiscontrolunit,ftaxregnum,fphone,fbankaccount,fstatus,fenable,fcreatorid,fcreatetime,fmodifytime,fmodifierid,fdisablerid,fdisabledate,funiformsocialcreditcode,fregisteredcapital,festablishmentdate,fbusinessterm,fstartdate,fenddate,fmasterid,fcountryid,fcityid,ftimezoneid,fpostcode,fcontactphone,fisplan,fisproject,fispresetbiz1,fispresetbiz2,fispresetbiz3,fispresetbiz4,fispresetbiz5,fispresetbiz6,fispresetbiz7,fispresetbiz8,fispresetbiz9,fispresetbiz10,fisbizorg,fname,fishrod,fishrop,fishrbg,fishrtr,fishrpa,fishrwt,fishrcmp,fishrbs,fishrpay,fishrtax,fishrsi,fishrlti,fishrbm,fishrtd,fishrtl,fishrip,fishrssc,fishrlc,fishrab,fistax,ftaxpayertype,fbigregisteredcapital
1,,ORG001,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91119098MA46646336,,1982-09-15,,,,,,,,,,,,,,,,,,,,,,,中国建筑集团有限公司,,,,,,,,,,,,,,,,,,,,,,
2,,ORG002,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91117491MA55868447,,2007-12-10,,,,,,,,,,,,,,,,,,,,,,,中国建筑股份有限公司,,,,,,,,,,,,,,,,,,,,,,
3,,ORG003,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91116764MA10205044,,2001-10-18,,,,,,,,,,,,,,,,,,,,,,,中建西部建设股份有限公司,,,,,,,,,,,,,,,,,,,,,,
4,,ORG004,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91115791MA16611630,,2002-05-24,,,,,,,,,,,,,,,,,,,,,,,中建环能科技股份有限公司,,,,,,,,,,,,,,,,,,,,,,
5,,ORG005,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91116857MA60025372,,2002-12-29,,,,,,,,,,,,,,,,,,,,,,,国家电网有限公司,,,,,,,,,,,,,,,,,,,,,,
6,,ORG006,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91112699MA46919280,,1997-11-14,,,,,,,,,,,,,,,,,,,,,,,国网英大股份有限公司,,,,,,,,,,,,,,,,,,,,,,
7,,ORG007,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91113288MA43510439,,1997-01-05,,,,,,,,,,,,,,,,,,,,,,,国网信息通信股份有限公司,,,,,,,,,,,,,,,,,,,,,,
8,,ORG008,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91115585MA96755271,,1993-03-15,,,,,,,,,,,,,,,,,,,,,,,许继电气股份有限公司,,,,,,,,,,,,,,,,,,,,,,
9,,ORG009,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91114496MA71987975,,1988-07-27,,,,,,,,,,,,,,,,,,,,,,,中国石油天然气集团有限公司,,,,,,,,,,,,,,,,,,,,,,
10,,ORG010,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91119299MA57646619,,1999-11-05,,,,,,,,,,,,,,,,,,,,,,,中国石油天然气股份有限公司,,,,,,,,,,,,,,,,,,,,,,
11,,ORG011,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91112701MA75690892,,1999-04-28,,,,,,,,,,,,,,,,,,,,,,,中国石油集团工程股份有限公司,,,,,,,,,,,,,,,,,,,,,,
12,,ORG012,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91114679MA64719795,,1996-10-11,,,,,,,,,,,,,,,,,,,,,,,中国石油集团资本股份有限公司,,,,,,,,,,,,,,,,,,,,,,
13,,ORG013,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91117647MA15097807,,2015-06-01,,,,,,,,,,,,,,,,,,,,,,,中国中车集团有限公司,,,,,,,,,,,,,,,,,,,,,,
14,,ORG014,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91114599MA69935062,,2007-12-28,,,,,,,,,,,,,,,,,,,,,,,中国中车股份有限公司,,,,,,,,,,,,,,,,,,,,,,
15,,ORG015,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91117478MA50030729,,2005-09-26,,,,,,,,,,,,,,,,,,,,,,,株洲中车时代电气股份有限公司,,,,,,,,,,,,,,,,,,,,,,
16,,ORG016,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91115256MA77678379,,1994-05-24,,,,,,,,,,,,,,,,,,,,,,,株洲时代新材料科技股份有限公司,,,,,,,,,,,,,,,,,,,,,,
17,,ORG017,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91111521MA32929698,,2017-11-28,,,,,,,,,,,,,,,,,,,,,,,国家能源投资集团有限责任公司,,,,,,,,,,,,,,,,,,,,,,
18,,ORG018,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91118869MA74238054,,2004-11-08,,,,,,,,,,,,,,,,,,,,,,,中国神华能源股份有限公司,,,,,,,,,,,,,,,,,,,,,,
19,,ORG019,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91117691MA37999834,,1992-12-31,,,,,,,,,,,,,,,,,,,,,,,国电电力发展股份有限公司,,,,,,,,,,,,,,,,,,,,,,
20,,ORG020,,,,,,,,,,,,,0,,,,,,,0,C,,,,,,,,91112639MA69843893,,1993-01-27,,,,,,,,,,,,,,,,,,,,,,,龙源电力集团股份有限公司,,,,,,,,,,,,,,,,,,,,,,
