node_id,node_type,name,number,legal_person,credit_code,establish_date,status,description
ORG_001,Company,中央建设集团有限公司,ORG001,朱秀兰,91119098MA46646336,2016-11-06,C,中央建设集团有限公司的详细描述
ORG_002,Company,中建华东分公司,ORG002,黄洋,91117491MA55868447,2008-08-04,C,中建华东分公司的详细描述
ORG_003,Company,中建华南分公司,ORG003,吴霞,91116764MA10205044,2020-11-06,C,中建华南分公司的详细描述
ORG_004,Company,中建西部分公司,ORG004,赵伟,91115791MA16611630,2017-02-04,C,中建西部分公司的详细描述
ORG_005,Company,国家电网集团公司,ORG005,胡敏,91116857MA60025372,2016-10-25,C,国家电网集团公司的详细描述
ORG_006,Company,国网华北电力公司,ORG006,马强,91112699MA46919280,2005-08-03,C,国网华北电力公司的详细描述
ORG_007,Company,国网华中电力公司,ORG007,高涛,91113288MA43510439,2016-02-08,C,国网华中电力公司的详细描述
ORG_008,Company,国网华南电力公司,ORG008,高勇,91115585MA96755271,2015-11-05,C,国网华南电力公司的详细描述
ORG_009,Company,中国石油天然气集团,ORG009,胡芳,91114496MA71987975,2016-12-02,C,中国石油天然气集团的详细描述
ORG_010,Company,中石油华东销售公司,ORG010,朱超,91119299MA57646619,2019-06-02,C,中石油华东销售公司的详细描述
ORG_011,Company,中石油华南销售公司,ORG011,孙军,91112701MA75690892,2013-12-05,C,中石油华南销售公司的详细描述
ORG_012,Company,中国铁路工程集团,ORG012,胡伟,91114679MA64719795,2012-11-17,C,中国铁路工程集团的详细描述
ORG_013,Company,中铁华东工程公司,ORG013,陈娜,91117647MA15097807,2014-03-12,C,中铁华东工程公司的详细描述
ORG_014,Company,中铁华南工程公司,ORG014,郭明,91114599MA69935062,2012-03-19,C,中铁华南工程公司的详细描述
ORG_015,Company,中国交通建设集团,ORG015,徐杰,91117478MA50030729,2011-09-15,C,中国交通建设集团的详细描述
ORG_016,Company,中交华东建设公司,ORG016,张强,91115256MA77678379,2016-05-19,C,中交华东建设公司的详细描述
ORG_017,Company,中交华南建设公司,ORG017,徐军,91111521MA32929698,2014-08-17,C,中交华南建设公司的详细描述
ORG_018,Company,中国能源建设集团,ORG018,刘磊,91118869MA74238054,2017-03-26,C,中国能源建设集团的详细描述
ORG_019,Company,中能华东建设公司,ORG019,孙秀兰,91117691MA37999834,2013-04-17,C,中能华东建设公司的详细描述
ORG_020,Company,中能华南建设公司,ORG020,何丽,91112639MA69843893,2004-04-08,C,中能华南建设公司的详细描述
SUP_001,Company,华信建材有限公司,SUP0001,刘军,358459634065274,,C,建筑材料、机械设备销售
SUP_002,Company,东方钢铁集团,SUP0002,赵明,673873471577546,,C,建筑材料、机械设备销售
SUP_003,Company,盛达水泥制造,SUP0003,周涛,704874642086356,,C,建筑材料、机械设备销售
SUP_004,Company,鑫源建筑材料,SUP0004,赵军,292076802295683,,C,建筑材料、机械设备销售
SUP_005,Company,宏图机械设备,SUP0005,李秀英,187021348830426,,C,建筑材料、机械设备销售
SUP_006,Company,天成电气设备,SUP0006,徐杰,846772042654242,,C,建筑材料、机械设备销售
SUP_007,Company,瑞丰五金制品,SUP0007,赵军,839929371301841,,C,建筑材料、机械设备销售
SUP_008,Company,博达工程机械,SUP0008,杨静,676532562677139,,C,建筑材料、机械设备销售
SUP_009,Company,金石建材供应,SUP0009,郭娜,664373381328890,,C,建筑材料、机械设备销售
SUP_010,Company,永盛钢构工程,SUP0010,郭丽,852829752658487,,C,建筑材料、机械设备销售
