node_id,node_type,event_type,event_no,event_name,amount,status,register_date,description
CASE_001,LegalEvent,Case,AJ202400001,合同纠纷案件-1,4450308.00,N,2025-01-31,案件简介：合同纠纷相关案件
CASE_002,LegalEvent,Case,AJ202400002,劳动争议案件-2,1077045.00,I,2025-04-08,案件简介：劳动争议相关案件
CASE_003,LegalEvent,Case,AJ202400003,侵权责任案件-3,3342093.00,I,2025-04-22,案件简介：侵权责任相关案件
CASE_004,LegalEvent,Case,AJ202400004,债权债务案件-4,3316961.00,J,2025-06-09,案件简介：债权债务相关案件
CASE_005,LegalEvent,Case,AJ202400005,知识产权案件-5,1581739.00,I,2025-08-02,案件简介：知识产权相关案件
CASE_006,LegalEvent,Case,AJ202400006,合同纠纷案件-6,2959430.00,I,2025-02-04,案件简介：合同纠纷相关案件
CASE_007,LegalEvent,Case,AJ202400007,劳动争议案件-7,1965755.00,N,2025-03-06,案件简介：劳动争议相关案件
CASE_008,LegalEvent,Case,AJ202400008,侵权责任案件-8,3955037.00,I,2025-06-18,案件简介：侵权责任相关案件
CASE_009,LegalEvent,Case,AJ202400009,债权债务案件-9,2623926.00,F,2025-06-27,案件简介：债权债务相关案件
CASE_010,LegalEvent,Case,AJ202400010,知识产权案件-10,2433623.00,F,2025-06-21,案件简介：知识产权相关案件
DISP_001,LegalEvent,Dispute,JF202400001,合同纠纷-1,1068465.00,B,2025-09-14,纠纷简述：合同纠纷相关纠纷
DISP_002,LegalEvent,Dispute,JF202400002,质量纠纷-2,1035908.00,C,2025-05-07,纠纷简述：质量纠纷相关纠纷
DISP_003,LegalEvent,Dispute,JF202400003,付款纠纷-3,2105480.00,F,2025-05-27,纠纷简述：付款纠纷相关纠纷
DISP_004,LegalEvent,Dispute,JF202400004,工期纠纷-4,1740152.00,F,2025-06-08,纠纷简述：工期纠纷相关纠纷
DISP_005,LegalEvent,Dispute,JF202400005,变更纠纷-5,1111698.00,G,2025-07-25,纠纷简述：变更纠纷相关纠纷
DISP_006,LegalEvent,Dispute,JF202400006,合同纠纷-6,579304.00,C,2025-05-12,纠纷简述：合同纠纷相关纠纷
DISP_007,LegalEvent,Dispute,JF202400007,质量纠纷-7,2878290.00,B,2025-07-29,纠纷简述：质量纠纷相关纠纷
DISP_008,LegalEvent,Dispute,JF202400008,付款纠纷-8,2620676.00,B,2025-07-19,纠纷简述：付款纠纷相关纠纷
DISP_009,LegalEvent,Dispute,JF202400009,工期纠纷-9,958125.00,C,2025-07-08,纠纷简述：工期纠纷相关纠纷
DISP_010,LegalEvent,Dispute,JF202400010,变更纠纷-10,537927.00,C,2025-07-22,纠纷简述：变更纠纷相关纠纷
