FID,FBILLNO,FBILLNAME,FSIGNALLAMOUNT,FBIZTIME,FPARTAID,FPARTANAME,FPATYPE,FPARTBID,FPARTBNAME,FPBTYPE,FPARTCID,FPARTCNAME,FPCTYPE,FPARTDID,FPARTDNAME,FPDTYPE,FBILLSTATUS,FCONTSTATUS,FDESCRIPTION
1,HT2024000001,建材采购合同-华信建材有限公司,5353380.00,2025-09-18,2,中建华东分公司,bos_org,1,华信建材有限公司,bd_supplier,,,,,,,C,EXECUTING,风险传导场景-中建华东分公司采购华信建材有限公司建材
2,HT2024000002,建材采购合同-东方钢铁集团,9930954.00,2025-09-04,2,中建华东分公司,bos_org,2,东方钢铁集团,bd_supplier,,,,,,,C,EXECUTING,风险传导场景-中建华东分公司采购东方钢铁集团建材
3,HT2024000003,建材采购合同-盛达水泥制造,7317542.00,2025-09-29,2,中建华东分公司,bos_org,3,盛达水泥制造,bd_supplier,,,,,,,C,EXECUTING,风险传导场景-中建华东分公司采购盛达水泥制造建材
4,HT2024000004,建材采购合同-鑫源建筑材料,7691282.00,2025-05-25,2,中建华东分公司,bos_org,4,鑫源建筑材料,bd_supplier,,,,,,,C,EXECUTING,风险传导场景-中建华东分公司采购鑫源建筑材料建材
5,HT2024000005,建材采购合同-宏图机械设备,8980792.00,2025-10-08,2,中建华东分公司,bos_org,5,宏图机械设备,bd_supplier,,,,,,,C,EXECUTING,风险传导场景-中建华东分公司采购宏图机械设备建材
6,HT2024000006,建材采购合同-天成电气设备,9239553.00,2025-09-19,2,中建华东分公司,bos_org,6,天成电气设备,bd_supplier,,,,,,,C,EXECUTING,风险传导场景-中建华东分公司采购天成电气设备建材
7,HT2024000007,建材采购合同-瑞丰五金制品,5712093.00,2025-06-11,2,中建华东分公司,bos_org,7,瑞丰五金制品,bd_supplier,,,,,,,C,EXECUTING,风险传导场景-中建华东分公司采购瑞丰五金制品建材
8,HT2024000008,建材采购合同-博达工程机械,8640061.00,2025-07-24,2,中建华东分公司,bos_org,8,博达工程机械,bd_supplier,,,,,,,C,EXECUTING,风险传导场景-中建华东分公司采购博达工程机械建材
9,HT2024000009,建材采购合同-金石建材供应,5786007.00,2025-07-15,2,中建华东分公司,bos_org,9,金石建材供应,bd_supplier,,,,,,,C,EXECUTING,风险传导场景-中建华东分公司采购金石建材供应建材
10,HT2024000010,建材采购合同-永盛钢构工程,6490568.00,2025-07-05,2,中建华东分公司,bos_org,10,永盛钢构工程,bd_supplier,,,,,,,C,EXECUTING,风险传导场景-中建华东分公司采购永盛钢构工程建材
11,HT2024000011,循环交易合同-国家电网集团公司至中天建筑材料,9919290.00,2025-07-25,5,国家电网集团公司,bos_org,11,中天建筑材料,bd_supplier,,,,,,,C,EXECUTING,循环交易场景-第1环
12,HT2024000012,循环交易合同-中天建筑材料至华润置地发展,9902595.00,2025-08-03,11,中天建筑材料,bd_supplier,1,华润置地发展,bd_customer,,,,,,,C,EXECUTING,循环交易场景-第2环
13,HT2024000013,循环交易合同-华润置地发展至国家电网集团公司,9994149.00,2025-08-14,1,华润置地发展,bd_customer,5,国家电网集团公司,bos_org,,,,,,,C,EXECUTING,循环交易场景-第3环
14,HT2024000014,旭辉控股与金石建材供应合作合同,22643967.00,2025-07-04,16,旭辉控股,bd_customer,9,金石建材供应,bd_supplier,,,,,,,C,COMPLETED,常规业务合同
15,HT2024000015,中建华东分公司与腾飞机械设备合作合同,1880365.00,2025-05-09,2,中建华东分公司,bos_org,22,腾飞机械设备,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
16,HT2024000016,金科地产与远大建筑材料合作合同,35622292.00,2025-02-18,22,金科地产,bd_customer,17,远大建筑材料,bd_supplier,,,,,,,C,EXECUTING,常规业务合同
