FID,FNUMBER,FNAME,FARTIFICIALPERSON,FSTATUS,FBUSINESSSCOPE,FCREATETIME
1,CP0001,中建设计研究院,陈明,C,工程咨询、技术服务,2024-03-15
2,CP0002,华东工程监理,胡静,C,工程咨询、技术服务,2025-01-19
3,CP0003,建筑质量检测中心,刘杰,C,工程咨询、技术服务,2024-12-17
4,CP0004,工程造价咨询,郭强,C,工程咨询、技术服务,2024-03-10
5,CP0005,建筑安全评估,张平,C,工程咨询、技术服务,2023-12-02
6,CP0006,环境影响评价,郭磊,C,工程咨询、技术服务,2025-02-08
7,CP0007,工程测绘服务,吴涛,C,工程咨询、技术服务,2024-05-25
8,CP0008,建筑法律咨询,黄霞,C,工程咨询、技术服务,2024-07-17
9,CP0009,工程保险代理,黄涛,C,工程咨询、技术服务,2024-04-13
10,CP0010,建筑金融服务,王磊,C,工程咨询、技术服务,2023-11-08
