FID,FBILLNO,FCONTRACTID,FCONTRACTNO,FPARTAID,FPARTANAME,FPARTBID,FPARTBNAME,FAMOUNT,FBIZTIME,FSTATUS,FDESCRIPTION
1,OUT2024000001,1,HT2024000001,2,中建华东分公司,1,华信建材有限公司,2500000.00,2025-09-22,C,建材采购首期款项流出
2,OUT2024000002,1,HT2024000001,2,中建华东分公司,1,华信建材有限公司,2853380.00,2025-10-18,C,建材采购尾款流出
3,OUT2024000003,2,HT2024000002,2,中建华东分公司,2,东方钢铁集团,4965477.00,2025-09-12,C,钢铁采购首期款项流出
4,OUT2024000004,2,HT2024000002,2,中建华东分公司,2,东方钢铁集团,4965477.00,2025-10-08,C,钢铁采购尾款流出
5,OUT2024000005,3,HT2024000003,2,中建华东分公司,3,盛达水泥制造,3658771.00,2025-10-03,C,水泥采购首期款项流出
6,OUT2024000006,3,HT2024000003,2,中建华东分公司,3,盛达水泥制造,3658771.00,2025-10-22,C,水泥采购尾款流出
7,OUT2024000007,4,HT2024000004,2,中建华东分公司,4,鑫源建筑材料,3845641.00,2025-05-30,C,建筑材料采购首期款项流出
8,OUT2024000008,4,HT2024000004,2,中建华东分公司,4,鑫源建筑材料,3845641.00,2025-06-22,C,建筑材料采购尾款流出
9,OUT2024000009,5,HT2024000005,2,中建华东分公司,5,宏图机械设备,4490396.00,2025-10-15,C,机械设备采购首期款项流出
10,OUT2024000010,5,HT2024000005,2,中建华东分公司,5,宏图机械设备,4490396.00,2025-11-08,C,机械设备采购尾款流出
11,OUT2024000011,11,HT2024000011,5,国家电网集团公司,11,中天建筑材料,4959645.00,2025-07-30,C,循环交易-第1环首期款流出
12,OUT2024000012,11,HT2024000011,5,国家电网集团公司,11,中天建筑材料,4959645.00,2025-08-18,C,循环交易-第1环尾款流出
13,OUT2024000013,12,HT2024000012,11,中天建筑材料,1,华润置地发展,4951297.50,2025-08-08,C,循环交易-第2环首期款流出
14,OUT2024000014,12,HT2024000012,11,中天建筑材料,1,华润置地发展,4951297.50,2025-08-28,C,循环交易-第2环尾款流出
15,OUT2024000015,13,HT2024000013,1,华润置地发展,5,国家电网集团公司,4997074.50,2025-08-20,C,循环交易-第3环首期款流出
16,OUT2024000016,13,HT2024000013,1,华润置地发展,5,国家电网集团公司,4997074.50,2025-09-08,C,循环交易-第3环尾款流出
17,OUT2024000017,14,HT2024000014,16,旭辉控股,9,金石建材供应,11321983.50,2025-07-12,C,常规业务交易流出
18,OUT2024000018,14,HT2024000014,16,旭辉控股,9,金石建材供应,11321983.50,2025-08-10,C,常规业务交易流出
19,OUT2024000019,15,HT2024000015,2,中建华东分公司,22,腾飞机械设备,940182.50,2025-05-18,C,常规业务交易流出
20,OUT2024000020,15,HT2024000015,2,中建华东分公司,22,腾飞机械设备,940182.50,2025-06-12,C,常规业务交易流出
21,OUT2024000021,16,HT2024000016,22,金科地产,17,远大建筑材料,17811146.00,2025-02-28,C,常规业务交易流出
22,OUT2024000022,16,HT2024000016,22,金科地产,17,远大建筑材料,17811146.00,2025-03-22,C,常规业务交易流出
23,OUT2024000023,19,HT2024000019,13,中铁华东工程公司,25,金鼎建筑器材,17560700.00,2025-08-08,C,常规业务交易流出
24,OUT2024000024,19,HT2024000019,13,中铁华东工程公司,25,金鼎建筑器材,17560700.00,2025-08-30,C,常规业务交易流出
25,OUT2024000025,23,HT2024000023,17,中南置地,12,恒泰机电设备,8924062.00,2025-07-20,C,常规业务交易流出
26,OUT2024000026,23,HT2024000023,17,中南置地,12,恒泰机电设备,8924062.00,2025-08-15,C,常规业务交易流出
27,OUT2024000027,26,HT2024000026,12,招商蛇口,28,博瑞工程设备,9821633.00,2025-06-25,C,常规业务交易流出
28,OUT2024000028,26,HT2024000026,12,招商蛇口,28,博瑞工程设备,9821633.00,2025-07-20,C,常规业务交易流出
29,OUT2024000029,39,HT2024000039,3,碧桂园地产,25,金鼎建筑器材,6773421.50,2025-08-30,C,常规业务交易流出
30,OUT2024000030,39,HT2024000039,3,碧桂园地产,25,金鼎建筑器材,6773421.50,2025-09-22,C,常规业务交易流出

