FID,FBILLNO,FNAME,FCASETYPEID,FDISPUTEAMOUNT,FDISPUTESTATUS,FRELATECONTRACTID,FRELATECONTRACTNAME,FREGISTDATE,FBILLSTATUS,FDISPUTEINTRODUCTION,FDESCRIPTION
1,JF202400001,合同履约争议-国家电网有限公司与特变电工股份有限公司,1,1068465.0,B,11,建材采购合同-特变电工股份有限公司,2025-09-14,C,"纠纷简述：国家电网有限公司与特变电工股份有限公司就合同履约争议产生分歧，争议金额约1,068,465.00元。","涉及合同履约节点及资金结算，争议金额1,068,465.00元，当前状态为待协商。"
2,JF202400002,质量争议-特变电工股份有限公司与中国建筑股份有限公司,2,1035908.0,C,12,循环交易合同-特变电工股份有限公司至中国建筑股份有限公司,2025-05-07,C,"纠纷简述：特变电工股份有限公司与中国建筑股份有限公司就质量争议产生分歧，争议金额约1,035,908.00元。","涉及合同履约节点及资金结算，争议金额1,035,908.00元，当前状态为处理中。"
3,JF202400003,付款争议-中国建筑股份有限公司与国家电网有限公司,3,2105480.0,F,13,集团内部协同协议-中国建筑股份有限公司与国家电网有限公司,2025-05-27,C,"纠纷简述：中国建筑股份有限公司与国家电网有限公司就付款争议产生分歧，争议金额约2,105,480.00元。","涉及合同履约节点及资金结算，争议金额2,105,480.00元，当前状态为已闭环。"
4,JF202400004,工期争议-金地(集团)股份有限公司与中国有色金属建设股份有限公司,4,1740152.0,F,14,建材采购合同-中国有色金属建设股份有限公司,2025-06-08,C,"纠纷简述：金地(集团)股份有限公司与中国有色金属建设股份有限公司就工期争议产生分歧，争议金额约1,740,152.00元。","涉及合同履约节点及资金结算，争议金额1,740,152.00元，当前状态为已闭环。"
5,JF202400005,争议-中国建筑股份有限公司与广联达科技股份有限公司,5,1111698.0,G,15,建材采购合同-广联达科技股份有限公司,2025-07-25,C,"纠纷简述：中国建筑股份有限公司与广联达科技股份有限公司就争议产生分歧，争议金额约1,111,698.00元。","涉及合同履约节点及资金结算，争议金额1,111,698.00元，当前状态为G。"
6,JF202400006,合同履约争议-杭州滨江房产集团股份有限公司与东方电气股份有限公司,1,579304.0,C,16,建材采购合同-东方电气股份有限公司,2025-05-12,C,"纠纷简述：杭州滨江房产集团股份有限公司与东方电气股份有限公司就合同履约争议产生分歧，争议金额约579,304.00元。","涉及合同履约节点及资金结算，争议金额579,304.00元，当前状态为处理中。"
7,JF202400007,质量争议-华夏幸福基业股份有限公司与启迪设计集团股份有限公司,2,2878290.0,B,17,服务合作合同-启迪设计集团股份有限公司,2025-07-29,C,"纠纷简述：华夏幸福基业股份有限公司与启迪设计集团股份有限公司就质量争议产生分歧，争议金额约2,878,290.00元。","涉及合同履约节点及资金结算，争议金额2,878,290.00元，当前状态为待协商。"
8,JF202400008,付款争议-珠海华发实业股份有限公司与华东建筑集团股份有限公司,3,2620676.0,B,18,服务合作合同-华东建筑集团股份有限公司,2025-07-19,C,"纠纷简述：珠海华发实业股份有限公司与华东建筑集团股份有限公司就付款争议产生分歧，争议金额约2,620,676.00元。","涉及合同履约节点及资金结算，争议金额2,620,676.00元，当前状态为待协商。"
9,JF202400009,付款争议-恒大地产集团有限公司与南京栖霞建设股份有限公司,3,958125.0,F,90,循环交易合同-恒大地产集团有限公司至南京栖霞建设股份有限公司,2025-07-08,C,"纠纷简述：恒大地产集团有限公司与南京栖霞建设股份有限公司就付款争议产生分歧，争议金额约958,125.00元。","涉及合同履约节点及资金结算，争议金额958,125.00元，当前状态为已闭环。"
10,JF202400010,付款争议-恒大地产集团有限公司与广联达科技股份有限公司,3,537927.0,F,99,建材采购合同-广联达科技股份有限公司,2025-07-22,C,"纠纷简述：恒大地产集团有限公司与广联达科技股份有限公司就付款争议产生分歧，争议金额约537,927.00元。","涉及合同履约节点及资金结算，争议金额537,927.00元，当前状态为已闭环。"
