FID,FNUMBER,FNAME,FARTIFICIALPERSON,FSTATUS,FBUSINESSSCOPE,FCREATETIME
1,CP0001,华东建筑集团股份有限公司,顾伟华,C,许可项目：建设工程设计；建设工程监理；建设工程施工；国土空间规划编制；建设工程勘察；测绘服务；检验检测服务；建设工程质量检测；出版物印刷。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：工程管理服务；工程造价咨询业务；市场营销策划；建筑材料销售；规划设计管理；信息技术咨询服务；软件开发；数据处理服务；数字内容制作服务（不含出版发行）；数字文化创意内容应用服务；自然科学研究和试验发展；工程和技术研究和试验发展；新材料技术研发；建筑废弃物再生技术研发；以自有资金从事投资活动；投资管理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,1992-06-12
2,CP0002,苏州市建筑科学研究院集团股份有限公司,吴小翔,C,建筑技术开发、技术服务、技术转让、技术咨询、技术培训。建筑材料及产品的研制、开发、生产、销售；建筑工程施工（凭资质证书经营）；计算机软件、硬件及外围设备的研发、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,2001-06-14
3,CP0003,中工国际工程股份有限公司,王博,C,承包各类境外工程及境内国际招标工程；上述境外工程所需的设备、材料出口；对外派遣工程、生产及服务行业所需的劳务人员（不含海员）；经营和代理各类商品及技术的进出口业务（国家限定公司经营或禁止进出口的商品及技术除外）；经营进料加工和“三来一补”业务；经营对销贸易和转口贸易；开展上述业务领域的投资及投资管理、建设和运营等。,2001-05-22
4,CP0004,苏交科集团股份有限公司,李大鹏,C,国内外房屋建筑业、土木工程建筑业、建筑安装业、生态保护和环境治理业、软件和信息技术服务业的总承包；上述项目的地质勘察、工程技术、施工、环境影响评价、研究和试验发展；质检技术服务，科技中介服务，环境与生态监测；建筑材料、建筑材料生产专用机械、机动车辆、建筑工程专用机械的开发、制造、生产、销售；实业投资与资产管理；贸易经纪与代理，机械设备、五金产品及电子产品批发，建材批发；设计、制作印刷品广告；司法鉴定，社会经济咨询，经济信息咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：工程造价咨询业务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,2002-08-29
5,CP0005,深圳市建筑科学研究院股份有限公司,叶青,C,"城市及建筑科学研究，城市规划编制，工程咨询、勘察、设计、质量检测与检查、项目管理、监理及相关技术服务，环境工程检测和咨询，建筑工程性能评估，能耗测评及节能检测评价，绿色节能改造咨询与施工，绿色建筑与园区运营管理，碳审计与评估，绿色低碳技术与产品开发、咨询、投资、培训推广和销售贸易，会议展览，物业租赁与管理,建筑服务。绿色低碳技术培训推广。",2007-08-20
6,CP0006,河南省中工设计研究院集团股份有限公司,汤意,C,许可项目：国土空间规划编制；建设工程勘察；建设工程设计；测绘服务；建设工程质量检测；水利工程质量检测；地质灾害治理工程勘查；地质灾害治理工程设计；地质灾害危险性评估；检验检测服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：工程管理服务；工程造价咨询业务；规划设计管理；公路水运工程试验检测服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；环保咨询服务；新兴能源技术研发；土地调查评估服务；信息技术咨询服务；软件开发；信息系统集成服务；专业设计服务；摄像及视频制作服务；数字内容制作服务（不含出版发行）；环境保护监测；消防技术服务；安全咨询服务；对外承包工程；水环境污染防治服务；土壤污染治理与修复服务；水利相关咨询服务；建筑材料销售；新型建筑材料制造（不含危险化学品）（除依法需经批准的项目外，凭营业执照依法自主开展经营活动）。,2007-08-22
7,CP0007,汉嘉设计集团股份有限公司,岑政平,C,许可项目：建设工程设计；国土空间规划编制；建设工程施工；建设工程勘察；人防工程设计；建筑智能化系统设计；建设工程监理；出版物印刷（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。一般项目：大数据服务；互联网数据服务；物联网应用服务；区块链技术相关软件和服务；智能控制系统集成；人工智能应用软件开发；信息系统集成服务；信息系统运行维护服务；软件开发；卫星技术综合应用系统集成；智能机器人的研发；智能机器人销售；人工智能硬件销售；工程管理服务；工程造价咨询业务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,1998-06-16
8,CP0008,海波重型工程科技股份有限公司,张海波,C,一般项目：金属结构制造；金属结构销售；建筑用金属配件制造；建筑用金属配件销售；金属表面处理及热处理加工；船用配套设备制造；喷涂加工；货物进出口；技术进出口；进出口代理；金属船舶制造；船舶销售；劳务服务（不含劳务派遣）；企业管理咨询；信息技术咨询服务；销售代理；国内贸易代理。（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：建设工程施工；施工专业作业；建筑劳务分包；船舶设计；船舶修理。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,1997-04-11
9,CP0009,启迪设计集团股份有限公司,查金荣,C,建筑工程及相应的工程咨询和装饰设计，智能建筑（系统工程设计），建筑工程勘察，土建设计、电力（变电工程设计）、市政工程（道路、桥隧、排水设计）、园林工程设计、轨道交通设计；城乡规划编制；工程造价咨询；全过程工程咨询；工程项目管理、建筑工程施工总承包及所需建筑材料和设备的销售；从事建筑学、土木工程的技术研究、开发、转让、建筑监理（乙级）；晒图、模型制作、提供建筑学、土木工程建设方面的技术咨询、电算工程测试服务。（以上项目涉及资质的凭资质证书经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动）,1988-03-03
10,CP0010,河北中瓷电子科技股份有限公司,卜爱民,C,电子封装及精细陶瓷的研发、生产、销售；电子元器件、半导体元器件、集成电路、汽车电子部件、零部件的研发、生产及销售；陶瓷材料、电子专用材料、金属制品的研发、生产及销售；半导体器件专用设备、电子专用设备的制造及销售；软件设计、技术咨询、技术服务、技术转让及进出口业务。（依法须经批准的项目、经相关部门批准后方可开展经营活动）。,2009-08-06
