edge_id,edge_type,from_node,to_node,from_type,to_type,properties
PARTY_0001,PARTY_A,ORG_002,CON_001,Company,Contract,甲方-中建华东分公司
PARTY_0002,PARTY_B,SUP_001,CON_001,Company,Contract,乙方-华信建材有限公司
PARTY_0003,PARTY_A,ORG_002,CON_002,Company,Contract,甲方-中建华东分公司
PARTY_0004,PARTY_B,SUP_002,CON_002,Company,Contract,乙方-东方钢铁集团
PARTY_0005,PARTY_A,ORG_002,CON_003,Company,Contract,甲方-中建华东分公司
PARTY_0006,PARTY_B,SUP_003,CON_003,Company,Contract,乙方-盛达水泥制造
PARTY_0007,PARTY_A,ORG_002,CON_004,Company,Contract,甲方-中建华东分公司
PARTY_0008,PARTY_B,SUP_004,CON_004,Company,Contract,乙方-鑫源建筑材料
PARTY_0009,PARTY_A,ORG_002,CON_005,Company,Contract,甲方-中建华东分公司
PARTY_0010,PARTY_B,SUP_005,CON_005,Company,Contract,乙方-宏图机械设备
PARTY_0011,PARTY_A,ORG_002,CON_006,Company,Contract,甲方-中建华东分公司
PARTY_0012,PARTY_B,SUP_006,CON_006,Company,Contract,乙方-天成电气设备
PARTY_0013,PARTY_A,ORG_002,CON_007,Company,Contract,甲方-中建华东分公司
PARTY_0014,PARTY_B,SUP_007,CON_007,Company,Contract,乙方-瑞丰五金制品
PARTY_0015,PARTY_A,ORG_002,CON_008,Company,Contract,甲方-中建华东分公司
PARTY_0016,PARTY_B,SUP_008,CON_008,Company,Contract,乙方-博达工程机械
PARTY_0017,PARTY_A,ORG_002,CON_009,Company,Contract,甲方-中建华东分公司
PARTY_0018,PARTY_B,SUP_009,CON_009,Company,Contract,乙方-金石建材供应
PARTY_0019,PARTY_A,ORG_002,CON_010,Company,Contract,甲方-中建华东分公司
PARTY_0020,PARTY_B,SUP_010,CON_010,Company,Contract,乙方-永盛钢构工程
PARTY_0021,PARTY_A,ORG_005,CON_011,Company,Contract,甲方-国家电网集团公司
PARTY_0022,PARTY_B,SUP_011,CON_011,Company,Contract,乙方-中天建筑材料
PARTY_0023,PARTY_A,SUP_011,CON_012,Company,Contract,甲方-中天建筑材料
PARTY_0024,PARTY_B,CUS_001,CON_012,Company,Contract,乙方-华润置地发展
PARTY_0025,PARTY_A,CUS_001,CON_013,Company,Contract,甲方-华润置地发展
PARTY_0026,PARTY_B,ORG_005,CON_013,Company,Contract,乙方-国家电网集团公司
PARTY_0027,PARTY_A,CUS_016,CON_014,Company,Contract,甲方-旭辉控股
PARTY_0028,PARTY_B,SUP_009,CON_014,Company,Contract,乙方-金石建材供应
PARTY_0029,PARTY_A,ORG_002,CON_015,Company,Contract,甲方-中建华东分公司
PARTY_0030,PARTY_B,SUP_022,CON_015,Company,Contract,乙方-腾飞机械设备
PARTY_0031,PARTY_A,CUS_022,CON_016,Company,Contract,甲方-金科地产
PARTY_0032,PARTY_B,SUP_017,CON_016,Company,Contract,乙方-远大建筑材料
PARTY_0033,PARTY_A,CUS_021,CON_017,Company,Contract,甲方-远洋地产
PARTY_0034,PARTY_B,CP_009,CON_017,Company,Contract,乙方-工程保险代理
PARTY_0035,PARTY_A,CUS_017,CON_018,Company,Contract,甲方-中南置地
PARTY_0036,PARTY_B,CP_001,CON_018,Company,Contract,乙方-中建设计研究院
PARTY_0037,PARTY_A,ORG_013,CON_019,Company,Contract,甲方-中铁华东工程公司
PARTY_0038,PARTY_B,SUP_025,CON_019,Company,Contract,乙方-金鼎建筑器材
PARTY_0039,PARTY_A,ORG_011,CON_020,Company,Contract,甲方-中石油华南销售公司
PARTY_0040,PARTY_B,SUP_008,CON_020,Company,Contract,乙方-博达工程机械
PARTY_0041,PARTY_A,CUS_026,CON_021,Company,Contract,甲方-雅居乐地产
PARTY_0042,PARTY_B,CP_005,CON_021,Company,Contract,乙方-建筑安全评估
