edge_id,edge_type,from_node,to_node,from_type,to_type,properties
SUP_REL_0001,IS_SUPPLIER,SUP_001,CUS_003,Company,Company,供应商关系-华信建材有限公司为碧桂园地产提供产品/服务
SUP_REL_0002,IS_SUPPLIER,SUP_001,CUS_023,Company,Company,供应商关系-华信建材有限公司为荣盛发展提供产品/服务
SUP_REL_0003,IS_SUPPLIER,SUP_001,ORG_002,Company,Company,供应商关系-华信建材有限公司为中建华东分公司提供产品/服务
SUP_REL_0004,IS_SUPPLIER,SUP_002,ORG_001,Company,Company,供应商关系-东方钢铁集团为中央建设集团有限公司提供产品/服务
SUP_REL_0005,IS_SUPPLIER,SUP_002,ORG_002,Company,Company,供应商关系-东方钢铁集团为中建华东分公司提供产品/服务
SUP_REL_0006,IS_SUPPLIER,SUP_003,ORG_002,Company,Company,供应商关系-盛达水泥制造为中建华东分公司提供产品/服务
SUP_REL_0007,IS_SUPPLIER,SUP_003,ORG_019,Company,Company,供应商关系-盛达水泥制造为中能华东建设公司提供产品/服务
SUP_REL_0008,IS_SUPPLIER,SUP_004,ORG_002,Company,Company,供应商关系-鑫源建筑材料为中建华东分公司提供产品/服务
SUP_REL_0009,IS_SUPPLIER,SUP_005,CUS_024,Company,Company,供应商关系-宏图机械设备为泰禾集团提供产品/服务
SUP_REL_0010,IS_SUPPLIER,SUP_005,ORG_002,Company,Company,供应商关系-宏图机械设备为中建华东分公司提供产品/服务
SUP_REL_0011,IS_SUPPLIER,SUP_005,ORG_017,Company,Company,供应商关系-宏图机械设备为中交华南建设公司提供产品/服务
SUP_REL_0012,IS_SUPPLIER,SUP_006,ORG_002,Company,Company,供应商关系-天成电气设备为中建华东分公司提供产品/服务
SUP_REL_0013,IS_SUPPLIER,SUP_007,ORG_002,Company,Company,供应商关系-瑞丰五金制品为中建华东分公司提供产品/服务
SUP_REL_0014,IS_SUPPLIER,SUP_008,ORG_002,Company,Company,供应商关系-博达工程机械为中建华东分公司提供产品/服务
SUP_REL_0015,IS_SUPPLIER,SUP_008,ORG_011,Company,Company,供应商关系-博达工程机械为中石油华南销售公司提供产品/服务
SUP_REL_0016,IS_SUPPLIER,SUP_009,CUS_016,Company,Company,供应商关系-金石建材供应为旭辉控股提供产品/服务
SUP_REL_0017,IS_SUPPLIER,SUP_009,ORG_002,Company,Company,供应商关系-金石建材供应为中建华东分公司提供产品/服务
SUP_REL_0018,IS_SUPPLIER,SUP_010,ORG_002,Company,Company,供应商关系-永盛钢构工程为中建华东分公司提供产品/服务
SUP_REL_0019,IS_SUPPLIER,SUP_011,CUS_001,Company,Company,供应商关系-中天建筑材料为华润置地发展提供产品/服务
SUP_REL_0020,IS_SUPPLIER,SUP_011,CUS_021,Company,Company,供应商关系-中天建筑材料为远洋地产提供产品/服务
SUP_REL_0021,IS_SUPPLIER,SUP_011,ORG_005,Company,Company,供应商关系-中天建筑材料为国家电网集团公司提供产品/服务
SUP_REL_0022,IS_SUPPLIER,SUP_012,CUS_017,Company,Company,供应商关系-恒泰机电设备为中南置地提供产品/服务
SUP_REL_0023,IS_SUPPLIER,SUP_017,CUS_022,Company,Company,供应商关系-远大建筑材料为金科地产提供产品/服务
SUP_REL_0024,IS_SUPPLIER,SUP_017,CUS_025,Company,Company,供应商关系-远大建筑材料为富力地产提供产品/服务
SUP_REL_0025,IS_SUPPLIER,SUP_017,ORG_012,Company,Company,供应商关系-远大建筑材料为中国铁路工程集团提供产品/服务
SUP_REL_0026,IS_SUPPLIER,SUP_018,ORG_007,Company,Company,供应商关系-兴业钢铁贸易为国网华中电力公司提供产品/服务
