edge_id,edge_type,from_node,to_node,from_type,to_type,properties
DISP_C_0001,RELATED_TO,CON_011,DISP_001,Contract,LegalEvent,关联合同-循环交易合同-国家电网集团公司至中天建筑材料
DISP_C_0002,RELATED_TO,CON_012,DISP_002,Contract,LegalEvent,关联合同-循环交易合同-中天建筑材料至华润置地发展
DISP_C_0003,RELATED_TO,CON_013,DISP_003,Contract,LegalEvent,关联合同-循环交易合同-华润置地发展至国家电网集团公司
DISP_C_0004,RELATED_TO,CON_014,DISP_004,Contract,LegalEvent,关联合同-旭辉控股与金石建材供应合作合同
DISP_C_0005,RELATED_TO,CON_015,DISP_005,Contract,LegalEvent,关联合同-中建华东分公司与腾飞机械设备合作合同
DISP_C_0006,RELATED_TO,CON_016,DISP_006,Contract,LegalEvent,关联合同-金科地产与远大建筑材料合作合同
DISP_C_0007,RELATED_TO,CON_017,DISP_007,Contract,LegalEvent,关联合同-远洋地产与工程保险代理合作合同
DISP_C_0008,RELATED_TO,CON_018,DISP_008,Contract,LegalEvent,关联合同-中南置地与中建设计研究院合作合同
DISP_C_0009,RELATED_TO,CON_019,DISP_009,Contract,LegalEvent,关联合同-中铁华东工程公司与金鼎建筑器材合作合同
DISP_C_0010,RELATED_TO,CON_020,DISP_010,Contract,LegalEvent,关联合同-中石油华南销售公司与博达工程机械合作合同
