edge_id,edge_type,from_node,to_node,from_type,to_type,properties
CTRL_0001,CONTROLS,ORG_001,ORG_002,Company,Company,控股关系
CTRL_0002,CONTROLS,ORG_001,ORG_003,Company,Company,控股关系
CTRL_0003,CONTROLS,ORG_001,ORG_004,Company,Company,控股关系
CTRL_0004,CONTROLS,ORG_005,ORG_006,Company,Company,控股关系
CTRL_0005,CONTROLS,ORG_005,ORG_007,Company,Company,控股关系
CTRL_0006,CONTROLS,ORG_005,ORG_008,Company,Company,控股关系
CTRL_0007,CONTROLS,ORG_009,ORG_010,Company,Company,控股关系
CTRL_0008,CONTROLS,ORG_009,ORG_011,Company,Company,控股关系
CTRL_0009,CONTROLS,ORG_009,ORG_012,Company,Company,控股关系
CTRL_0010,CONTROLS,ORG_013,ORG_014,Company,Company,控股关系
CTRL_0011,CONTROLS,ORG_013,ORG_015,Company,Company,控股关系
CTRL_0012,CONTROLS,ORG_013,ORG_016,Company,Company,控股关系
CTRL_0013,CONTROLS,ORG_017,ORG_018,Company,Company,控股关系
CTRL_0014,CONTROLS,ORG_017,ORG_019,Company,Company,控股关系
CTRL_0015,CONTROLS,ORG_017,ORG_020,Company,Company,控股关系
