edge_id,edge_type,from_node,to_node,from_type,to_type,properties
CT_000001,PAYS,ORG_001,TXN_IN_0001,Company,Transaction,付款-华信建材有限公司向中建华东分公司支付
CT_000002,RECEIVES,TXN_IN_0001,ORG_002,Transaction,Company,收款-中建华东分公司收到华信建材有限公司付款
CT_000003,PAYS,ORG_001,TXN_IN_0002,Company,Transaction,付款-华信建材有限公司向中建华东分公司支付
CT_000004,RECEIVES,TXN_IN_0002,ORG_002,Transaction,Company,收款-中建华东分公司收到华信建材有限公司付款
CT_000005,PAYS,ORG_002,TXN_IN_0003,Company,Transaction,付款-东方钢铁集团向中建华东分公司支付
CT_000006,RECEIVES,TXN_IN_0003,ORG_002,Transaction,Company,收款-中建华东分公司收到东方钢铁集团付款
CT_000007,PAYS,ORG_002,TXN_IN_0004,Company,Transaction,付款-东方钢铁集团向中建华东分公司支付
CT_000008,RECEIVES,TXN_IN_0004,ORG_002,Transaction,Company,收款-中建华东分公司收到东方钢铁集团付款
CT_000009,PAYS,ORG_003,TXN_IN_0005,Company,Transaction,付款-盛达水泥制造向中建华东分公司支付
CT_000010,RECEIVES,TXN_IN_0005,ORG_002,Transaction,Company,收款-中建华东分公司收到盛达水泥制造付款
CT_000011,PAYS,ORG_003,TXN_IN_0006,Company,Transaction,付款-盛达水泥制造向中建华东分公司支付
CT_000012,RECEIVES,TXN_IN_0006,ORG_002,Transaction,Company,收款-中建华东分公司收到盛达水泥制造付款
CT_000013,PAYS,ORG_004,TXN_IN_0007,Company,Transaction,付款-鑫源建筑材料向中建华东分公司支付
CT_000014,RECEIVES,TXN_IN_0007,ORG_002,Transaction,Company,收款-中建华东分公司收到鑫源建筑材料付款
CT_000015,PAYS,ORG_004,TXN_IN_0008,Company,Transaction,付款-鑫源建筑材料向中建华东分公司支付
CT_000016,RECEIVES,TXN_IN_0008,ORG_002,Transaction,Company,收款-中建华东分公司收到鑫源建筑材料付款
CT_000017,PAYS,ORG_005,TXN_IN_0009,Company,Transaction,付款-宏图机械设备向中建华东分公司支付
CT_000018,RECEIVES,TXN_IN_0009,ORG_002,Transaction,Company,收款-中建华东分公司收到宏图机械设备付款
CT_000019,PAYS,ORG_005,TXN_IN_0010,Company,Transaction,付款-宏图机械设备向中建华东分公司支付
CT_000020,RECEIVES,TXN_IN_0010,ORG_002,Transaction,Company,收款-中建华东分公司收到宏图机械设备付款
CT_000021,PAYS,ORG_011,TXN_IN_0011,Company,Transaction,付款-中天建筑材料向国家电网集团公司支付
CT_000022,RECEIVES,TXN_IN_0011,ORG_005,Transaction,Company,收款-国家电网集团公司收到中天建筑材料付款
CT_000023,PAYS,ORG_011,TXN_IN_0012,Company,Transaction,付款-中天建筑材料向国家电网集团公司支付
CT_000024,RECEIVES,TXN_IN_0012,ORG_005,Transaction,Company,收款-国家电网集团公司收到中天建筑材料付款
CT_000025,PAYS,ORG_001,TXN_IN_0013,Company,Transaction,付款-华润置地发展向中天建筑材料支付
CT_000026,RECEIVES,TXN_IN_0013,ORG_011,Transaction,Company,收款-中天建筑材料收到华润置地发展付款
CT_000027,PAYS,ORG_001,TXN_IN_0014,Company,Transaction,付款-华润置地发展向中天建筑材料支付
CT_000028,RECEIVES,TXN_IN_0014,ORG_011,Transaction,Company,收款-中天建筑材料收到华润置地发展付款
CT_000029,PAYS,ORG_005,TXN_IN_0015,Company,Transaction,付款-国家电网集团公司向华润置地发展支付
CT_000030,RECEIVES,TXN_IN_0015,ORG_001,Transaction,Company,收款-华润置地发展收到国家电网集团公司付款
CT_000031,PAYS,ORG_005,TXN_IN_0016,Company,Transaction,付款-国家电网集团公司向华润置地发展支付
CT_000032,RECEIVES,TXN_IN_0016,ORG_001,Transaction,Company,收款-华润置地发展收到国家电网集团公司付款
CT_000033,PAYS,ORG_009,TXN_IN_0017,Company,Transaction,付款-金石建材供应向旭辉控股支付
CT_000034,RECEIVES,TXN_IN_0017,ORG_016,Transaction,Company,收款-旭辉控股收到金石建材供应付款
CT_000035,PAYS,ORG_009,TXN_IN_0018,Company,Transaction,付款-金石建材供应向旭辉控股支付
CT_000036,RECEIVES,TXN_IN_0018,ORG_016,Transaction,Company,收款-旭辉控股收到金石建材供应付款
CT_000037,PAYS,SUP_022,TXN_IN_0019,Company,Transaction,付款-腾飞机械设备向中建华东分公司支付
CT_000038,RECEIVES,TXN_IN_0019,ORG_002,Transaction,Company,收款-中建华东分公司收到腾飞机械设备付款
CT_000039,PAYS,SUP_022,TXN_IN_0020,Company,Transaction,付款-腾飞机械设备向中建华东分公司支付
